Land use,Scenario,Direction,Gen,Rep,X,Y,Proportion,Male
LU,C45,WE,1,2,221731,5132231,0,1
LU,C45,WE,1,2,233018,5138600,0.1245,1
LU,C45,WE,1,3,234857,5144316,0.1655,0
LU,C45,WE,1,3,231299,5113020,0.08614,0
LU,C45,WE,1,3,225711,5128850,0,0
LU,C45,WE,1,3,227902,5122185,0.01041,0
LU,C45,WE,1,3,223746,5132726,0,0
LU,C45,WE,1,3,239516,5130813,0.2693,1
LU,C45,WE,1,3,222945,5136046,0,1
LU,C45,WE,1,3,231610,5145010,0.09307,1
LU,C85,WE,1,1,225058,5125929,0,0
LU,C85,WE,1,1,227686,5143244,0.005596,0
LU,C85,WE,1,1,227233,5134713,0,0
LU,C85,WE,1,1,221318,5123485,0,0
LU,C85,WE,1,1,222243,5133846,0,1
LU,C85,WE,1,1,222412,5127278,0,1
LU,C85,WE,1,1,235607,5114573,0.1822,1
LU,C85,WE,1,1,216064,5129407,0,1
LU,C85,WE,1,2,213673,5133253,0,0
LU,C85,WE,1,2,215463,5133237,0,0
LU,C85,WE,1,2,219952,5132443,0,0
LU,C85,WE,1,2,227019,5135296,0,0
LU,C85,WE,1,2,243131,5114818,0.3499,0
LU,C85,WE,1,2,239192,5132314,0.2621,1
LU,C85,WE,1,2,223645,5133557,0,1
LU,C85,WE,1,2,224050,5133559,0,1
LU,C85,WE,1,3,224235,5134699,0,0
LU,C85,WE,1,3,228297,5122361,0.01922,0
LU,C85,WE,1,3,213498,5132048,0,0
LU,C85,WE,1,3,227949,5129077,0.01146,0
LU,C85,WE,1,3,228869,5134242,0.03197,0
LU,C85,WE,1,3,234417,5113133,0.1557,1
LU,C85,WE,1,3,214017,5132239,0,1
LU,C85,WE,1,3,226178,5134155,0,1
LU,C85,WE,1,3,222325,5133267,0,1
LU,Hist,WE,1,1,217811,5129955,0,0
LU,Hist,WE,1,1,227099,5146991,0,0
LU,Hist,WE,1,1,240064,5121088,0.2815,0
LU,Hist,WE,1,1,224675,5142217,0,1
LU,Hist,WE,1,1,216232,5139651,0,1
LU,Hist,WE,1,1,227700,5135879,0.005908,1
LU,Hist,WE,1,2,213535,5132351,0,0
LU,Hist,WE,1,2,215360,5133670,0,0
LU,Hist,WE,1,2,227593,5144011,0.003522,0
LU,Hist,WE,1,2,228373,5136772,0.02091,1
LU,Hist,WE,1,2,213923,5133731,0,1
LU,Hist,WE,1,3,216835,5138031,0,0
LU,Hist,WE,1,3,234119,5114005,0.149,0
LU,Hist,WE,1,3,227408,5135143,0,0
LU,Hist,WE,1,3,228432,5122273,0.02223,0
LU,Hist,WE,1,3,231391,5142107,0.08819,1
LU,Hist,WE,1,3,220061,5141821,0,1
NLU,C45,WE,1,1,230680,5144527,0.07234,0
NLU,C45,WE,1,1,243004,5115160,0.3471,0
NLU,C45,WE,1,1,215237,5129533,0,0
NLU,C45,WE,1,1,218606,5139229,0,1
NLU,C45,WE,1,1,215002,5131485,0,1
NLU,C45,WE,1,1,227788,5121193,0.007869,1
NLU,C45,WE,1,2,217294,5127108,0,0
NLU,C45,WE,1,2,217630,5134182,0,0
NLU,C45,WE,1,2,215330,5136786,0,0
NLU,C45,WE,1,2,230441,5136171,0.06701,0
NLU,C45,WE,1,2,221973,5127665,0,0
NLU,C45,WE,1,2,217219,5134362,0,1
NLU,C45,WE,1,2,215953,5132815,0,1
NLU,C45,WE,1,3,233538,5113221,0.1361,0
NLU,C45,WE,1,3,226920,5127705,0,0
NLU,C45,WE,1,3,215744,5136519,0,0
NLU,C45,WE,1,3,227648,5121855,0.004748,0
NLU,C45,WE,1,3,220959,5143310,0,1
NLU,C45,WE,1,3,223001,5133031,0,1
NLU,C45,WE,1,3,227355,5142853,0,1
NLU,C45,WE,1,3,231824,5145916,0.09784,1
NLU,C85,WE,1,1,227245,5124957,0,0
NLU,C85,WE,1,1,233385,5147243,0.1326,0
NLU,C85,WE,1,1,241634,5137271,0.3165,0
NLU,C85,WE,1,1,214669,5132381,0,0
NLU,C85,WE,1,1,232736,5114908,0.1182,1
NLU,C85,WE,1,1,215572,5131832,0,1
NLU,C85,WE,1,1,239368,5126254,0.266,1
NLU,C85,WE,1,2,219575,5134120,0,0
NLU,C85,WE,1,2,226768,5133629,0,0
NLU,C85,WE,1,2,223250,5135067,0,0
NLU,C85,WE,1,2,228894,5125776,0.03253,0
NLU,C85,WE,1,2,225965,5133842,0,0
NLU,C85,WE,1,2,220929,5133777,0,1
NLU,C85,WE,1,2,218643,5132909,0,1
NLU,C85,WE,1,2,240519,5126708,0.2917,1
NLU,C85,WE,1,2,222262,5139057,0,1
NLU,C85,WE,1,2,226246,5134901,0,1
NLU,C85,WE,1,3,221934,5143821,0,0
NLU,C85,WE,1,3,233090,5114666,0.1261,0
NLU,C85,WE,1,3,234926,5112463,0.167,0
NLU,C85,WE,1,3,228085,5128535,0.01449,0
NLU,C85,WE,1,3,226634,5134034,0,1
NLU,C85,WE,1,3,221250,5138290,0,1
NLU,C85,WE,1,3,228378,5144465,0.02102,1
NLU,C85,WE,1,3,222425,5133204,0,1
NLU,C85,WE,1,3,231824,5145401,0.09784,1
NLU,Hist,WE,1,1,218014,5123490,0,0
NLU,Hist,WE,1,1,234183,5138584,0.1504,0
NLU,Hist,WE,1,1,216137,5129068,0,0
NLU,Hist,WE,1,1,215461,5129779,0,1
NLU,Hist,WE,1,1,220083,5136097,0,1
NLU,Hist,WE,1,1,226237,5138810,0,1
NLU,Hist,WE,1,1,223757,5140805,0,1
NLU,Hist,WE,1,2,218720,5133808,0,0
NLU,Hist,WE,1,2,232748,5136171,0.1184,0
NLU,Hist,WE,1,2,221490,5134293,0,0
NLU,Hist,WE,1,2,216434,5132541,0,0
NLU,Hist,WE,1,2,231049,5127215,0.08057,0
NLU,Hist,WE,1,2,229793,5141415,0.05257,1
NLU,Hist,WE,1,2,228340,5135146,0.02018,1
NLU,Hist,WE,1,2,239893,5128348,0.2777,1
NLU,Hist,WE,1,2,231194,5137176,0.0838,1
NLU,Hist,WE,1,3,227695,5120787,0.005796,0
NLU,Hist,WE,1,3,229825,5125007,0.05328,0
NLU,Hist,WE,1,3,257159,5119339,0.6626,1
NLU,Hist,WE,1,3,235930,5148423,0.1894,1
NLU,Hist,WE,1,3,239210,5150256,0.2625,1
NLU,Hist,WE,1,3,221001,5140271,0,1
LU,C45,EW,2,1,272535,5128359,0,0
LU,C45,EW,2,1,270259,5122356,0.04532,1
LU,C45,EW,2,1,279391,5118490,0,1
LU,C45,EW,2,1,269881,5126687,0.05375,1
LU,C45,EW,2,1,272489,5123226,0,1
LU,C45,EW,2,2,273421,5119145,0,1
LU,C45,EW,2,2,274755,5138174,0,1
LU,C45,EW,2,2,278709,5120824,0,1
LU,C45,EW,2,2,273266,5123367,0,1
LU,C45,EW,2,3,284524,5129217,0,0
LU,C45,EW,2,3,275058,5139765,0,1
LU,C45,EW,2,3,258361,5117711,0.3106,1
LU,C45,EW,2,3,283211,5130604,0,1
LU,C45,EW,2,3,242591,5142529,0.6621,1
LU,C45,EW,2,3,274160,5136441,0,1
LU,C45,EW,2,3,275638,5125965,0,1
LU,C85,EW,2,1,270959,5126847,0.02972,0
LU,C85,EW,2,1,278508,5135007,0,0
LU,C85,EW,2,1,279382,5114567,0,0
LU,C85,EW,2,1,266743,5121327,0.1237,0
LU,C85,EW,2,1,258837,5112768,0.3,0
LU,C85,EW,2,1,271741,5127415,0.01228,1
LU,C85,EW,2,1,269483,5126970,0.06262,1
LU,C85,EW,2,1,279100,5114516,0,1
LU,C85,EW,2,2,251045,5121482,0.4737,0
LU,C85,EW,2,2,267948,5127426,0.09684,0
LU,C85,EW,2,2,274671,5136663,0,1
LU,C85,EW,2,3,283334,5129545,0,0
LU,C85,EW,2,3,284302,5126575,0,0
LU,C85,EW,2,3,284112,5127386,0,0
LU,C85,EW,2,3,284249,5129208,0,0
LU,C85,EW,2,3,279197,5141794,0,1
LU,C85,EW,2,3,271771,5140739,0.01161,1
LU,C85,EW,2,3,269881,5120201,0.05375,1
LU,Hist,EW,2,1,271282,5127443,0.02252,0
LU,Hist,EW,2,1,279188,5113343,0,0
LU,Hist,EW,2,1,251125,5138257,0.4719,0
