Direction,Scenario,Landuse,Gen,Rep,Year,Alive,Starved,Winter_Kill,Predation,Stochastic_Death,Left_Map,Failed_to_Establish,Total_Dispersers,EnergyLevel_Mean,Stdev,Sterr,Variance,PercepDist_Mean,Stdev,Sterr,Variance,StepDist_Mean,Stdev,Sterr,Variance,     TotalDist_Mean,Stdev,Sterr,Variance,Tortuosity_Mean,Stdev,Sterr,Variance,SLDist_Mean,Stdev,Sterr,Variance,TimeSteps_Mean,TimeSteps_SD,Males,Females,ResCount,MaxDispersal
EW,C85,LU,0,7,2010,6,3,0,1,0,0,0,10,5440.33,184.51,75.32,34042.28,100.00,0.00,0.00,0.00,268.45,27.74,11.33,769.62,247326.12,115353.02,47092.67,13306318769.79,28.41,17.66,7.21,311.74,10362.57,5830.50,2380.29,33994697.10,2381.00,1109.48,5,5,15,19137.4063963
EW,C85,LU,0,8,2010,5,5,0,0,0,0,0,10,5200.36,239.05,106.90,57143.39,100.00,0.00,0.00,0.00,268.86,11.49,5.14,131.91,279815.79,166346.94,74392.61,27671302850.15,34.79,20.05,8.97,401.91,10260.08,7782.09,3480.25,60560873.36,2674.40,1552.64,5,5,36,22424.87522
EW,C85,LU,0,9,2010,4,4,0,1,0,0,1,10,5425.91,244.65,122.33,59853.96,100.00,0.00,0.00,0.00,254.08,19.28,9.64,371.64,350754.01,142298.47,71149.23,20248854480.23,66.23,41.68,20.84,1737.59,5935.76,2577.53,1288.77,6643663.77,3660.75,1526.16,5,5,12,9290.39528176
EW,Hist,LU,0,1,2010,6,1,0,1,0,0,2,10,5283.10,244.61,99.86,59835.90,100.00,0.00,0.00,0.00,269.45,13.27,5.42,176.16,377339.81,185143.78,75584.63,34278219114.64,98.68,112.89,46.09,12743.87,8033.50,6378.51,2604.02,40685371.73,3615.50,1728.13,5,5,12,18539.1874602
EW,Hist,LU,0,10,2010,6,3,0,1,0,0,0,10,5556.48,271.88,110.99,73917.24,100.00,0.00,0.00,0.00,261.40,17.62,7.19,310.48,298210.85,123236.95,50311.28,15187346968.09,118.14,193.96,79.18,37618.95,7742.83,6948.59,2836.75,48282950.24,3008.67,1301.75,5,5,12,20751.4271488
EW,Hist,LU,0,2,2010,4,2,0,1,0,0,3,10,5363.24,81.07,40.53,6571.65,100.00,0.00,0.00,0.00,263.11,17.22,8.61,296.54,386233.63,151893.34,75946.67,23071587815.80,22.70,17.45,8.72,304.47,23059.51,10781.15,5390.57,116233088.63,3922.25,1697.10,5,5,27,33984.3031983
EW,Hist,LU,0,3,2010,5,5,0,0,0,0,0,10,5023.14,445.92,199.42,198843.71,100.00,0.00,0.00,0.00,272.07,12.76,5.71,162.92,308595.77,161037.24,72018.04,25932992099.17,33.19,17.09,7.64,291.91,11568.68,6996.06,3128.73,48944844.10,2977.60,1571.15,5,5,7,21201.1297936
EW,Hist,LU,0,4,2010,3,4,0,1,0,0,2,10,5625.31,157.82,91.11,24905.59,100.00,0.00,0.00,0.00,253.15,21.60,12.47,466.37,462402.82,113863.58,65739.17,12964913899.94,41.49,20.47,11.82,419.15,12092.59,3125.33,1804.41,9767694.76,4770.67,771.06,5,5,12,15413.4649876
EW,Hist,LU,0,5,2010,5,3,0,0,0,0,2,10,5652.59,99.92,44.69,9983.76,100.00,0.00,0.00,0.00,257.39,20.24,9.05,409.55,411865.40,123755.84,55345.30,15315508667.94,47.16,23.71,10.60,562.12,9908.87,4284.02,1915.87,18352820.47,4118.40,1003.50,5,5,21,15845.1018063
EW,Hist,LU,0,6,2010,1,2,0,0,0,0,7,10,5299.18,0.00,0.00,0.00,100.00,0.00,0.00,0.00,285.21,0.00,0.00,0.00,470593.80,0.00,0.00,0.00,15.21,0.00,0.00,0.00,30942.45,0.00,0.00,0.00,4413.00,0.00,5,5,31,30942.4491707
