Direction,Scenario,Landuse,Gen,Rep,Year,Alive,Starved,Winter_Kill,Predation,Stochastic_Death,Left_Map,Failed_to_Establish,Total_Dispersers,EnergyLevel_Mean,Stdev,Sterr,Variance,PercepDist_Mean,Stdev,Sterr,Variance,StepDist_Mean,Stdev,Sterr,Variance,     TotalDist_Mean,Stdev,Sterr,Variance,Tortuosity_Mean,Stdev,Sterr,Variance,SLDist_Mean,Stdev,Sterr,Variance,TimeSteps_Mean,TimeSteps_SD,Males,Females,ResCount,MaxDispersal
WE,C85,LU,0,4,2010,6,4,0,0,0,0,0,10,5106.72,359.07,146.59,128933.97,100.00,0.00,0.00,0.00,271.03,10.51,4.29,110.53,271009.83,119496.42,48784.21,14279394957.27,57.64,75.05,30.64,5632.36,10499.97,7091.40,2895.05,50287992.27,2589.33,1112.27,5,5,25,19098.9387373
WE,C85,LU,0,5,2010,7,2,0,1,0,0,0,10,5206.43,278.14,105.13,77364.23,100.00,0.00,0.00,0.00,279.28,15.89,6.01,252.53,151338.08,8824.30,3335.27,77868232.16,35.46,55.19,20.86,3045.63,10053.00,5541.27,2094.40,30705718.99,1410.57,96.86,5,5,35,17370.9745557
WE,C85,LU,0,6,2010,4,6,0,0,0,0,0,10,5171.43,322.19,161.10,103808.21,100.00,0.00,0.00,0.00,276.06,11.26,5.63,126.75,192909.78,82241.55,41120.77,6763671765.65,23.41,14.15,7.08,200.32,12157.28,8968.73,4484.37,80438147.39,1796.25,733.53,5,5,35,20123.9735968
WE,C85,LU,0,7,2010,8,2,0,0,0,0,0,10,5487.54,149.85,52.98,22453.71,100.00,0.00,0.00,0.00,263.72,13.97,4.94,195.29,339760.34,177637.81,62804.45,31555191204.20,26.41,16.77,5.93,281.25,15784.51,8202.98,2900.19,67288919.98,3356.88,1707.21,5,5,15,26008.7923143
WE,C85,LU,0,8,2010,8,2,0,0,0,0,0,10,5047.50,312.65,110.54,97752.97,100.00,0.00,0.00,0.00,272.53,16.26,5.75,264.53,266382.85,110365.09,39019.95,12180454127.92,126.77,196.48,69.47,38603.35,6172.85,6263.31,2214.41,39229066.67,2611.25,1131.58,5,5,36,20038.0567055
WE,C85,LU,0,9,2010,8,2,0,0,0,0,0,10,5312.71,251.17,88.80,63088.41,100.00,0.00,0.00,0.00,271.68,15.39,5.44,236.82,388620.30,134279.29,47474.90,18030927283.73,98.01,92.10,32.56,8482.31,6929.20,5932.52,2097.46,35194751.49,3725.38,1217.56,5,5,12,19878.7994561
WE,Hist,LU,0,1,2010,6,2,0,1,0,0,1,10,5344.31,179.99,73.48,32396.49,100.00,0.00,0.00,0.00,273.02,14.55,5.94,211.60,418131.46,80425.17,32833.44,6468207804.70,93.24,92.52,37.77,8559.96,9145.04,6063.93,2475.59,36771240.82,4033.83,738.23,5,5,12,15937.7951488
WE,Hist,LU,0,10,2010,7,3,0,0,0,0,0,10,5029.97,380.90,143.97,145082.32,100.00,0.00,0.00,0.00,279.22,12.59,4.76,158.62,251231.54,122422.53,46271.37,14987277075.17,81.69,81.07,30.64,6572.19,6555.88,5327.55,2013.62,28382776.65,2345.57,1132.38,5,5,12,14953.8632711
WE,Hist,LU,0,2,2010,5,5,0,0,0,0,0,10,4829.02,450.57,201.50,203013.35,100.00,0.00,0.00,0.00,279.19,13.58,6.07,184.29,159938.36,25556.18,11429.07,653118463.03,45.12,35.22,15.75,1240.78,4961.32,2458.22,1099.35,6042844.00,1477.00,165.51,5,5,27,8050.90891593
WE,Hist,LU,0,3,2010,6,4,0,0,0,0,0,10,5240.04,240.90,98.35,58034.08,100.00,0.00,0.00,0.00,268.82,11.61,4.74,134.86,263738.47,138394.60,56499.36,19153065134.53,35.86,25.86,10.56,668.88,8163.77,2360.96,963.86,5574140.80,2538.00,1269.27,5,5,7,10925.8581062
WE,Hist,LU,0,4,2010,5,4,0,1,0,0,0,10,5229.24,120.25,53.78,14459.27,100.00,0.00,0.00,0.00,280.27,11.31,5.06,127.96,411353.05,98778.10,44174.91,9757112740.58,55.13,38.80,17.35,1505.57,11445.15,8534.50,3816.74,72837667.24,3850.00,838.38,5,5,12,24916.6497757
WE,Hist,LU,0,5,2010,8,2,0,0,0,0,0,10,4929.41,556.64,196.80,309848.47,100.00,0.00,0.00,0.00,272.72,15.11,5.34,228.46,219399.70,80613.22,28501.08,6498490736.59,127.07,241.45,85.36,58296.04,8971.86,7063.30,2497.25,49890179.00,2093.12,795.93,5,5,21,19944.9125843
WE,Hist,LU,0,6,2010,6,4,0,0,0,0,0,10,4961.17,514.34,209.98,264548.74,100.00,0.00,0.00,0.00,274.85,11.15,4.55,124.36,224790.24,84666.90,34565.12,7168483666.56,42.32,28.45,11.62,809.52,6890.68,3734.82,1524.73,13948877.47,2121.83,752.14,5,5,31,13281.4580628
WE,Hist,LU,0,7,2010,6,2,0,2,0,0,0,10,5448.50,197.23,80.52,38898.48,100.00,0.00,0.00,0.00,261.58,11.93,4.87,142.32,324456.31,114426.32,46714.35,13093382966.58,34.41,24.01,9.80,576.41,14564.43,9956.79,4064.84,99137640.55,3216.00,1085.89,5,5,11,26202.6711826
WE,Hist,LU,0,8,2010,8,2,0,0,0,0,0,10,5167.00,400.75,141.69,160600.82,100.00,0.00,0.00,0.00,275.94,15.27,5.40,233.10,197138.43,83063.12,29367.25,6899481973.51,55.32,36.53,12.91,1334.23,5160.59,3291.36,1163.67,10833035.37,1862.00,769.14,5,5,30,10903.9066668
WE,Hist,LU,0,9,2010,4,3,0,1,0,0,2,10,5448.31,120.99,60.49,14637.40,100.00,0.00,0.00,0.00,265.93,13.99,6.99,195.64,373603.77,160014.04,80007.02,25604493675.91,43.52,47.87,23.94,2291.61,15003.43,8161.74,4080.87,66613999.97,3635.25,1533.47,5,5,7,22905.9280919
WE,C45,NLU,0,1,2010,6,4,0,0,0,0,0,10,5121.08,467.43,190.83,218492.58,100.00,0.00,0.00,0.00,275.55,15.99,6.53,255.70,215121.89,114040.27,46556.75,13005183857.61,75.08,119.03,48.59,14168.16,8820.57,7420.63,3029.46,55065694.10,1994.50,1008.27,5,5,33,22387.518423
WE,C45,NLU,0,10,2010,4,6,0,0,0,0,0,10,4608.33,366.87,183.44,134596.59,100.00,0.00,0.00,0.00,280.48,15.20,7.60,231.08,202586.28,84285.71,42142.85,7104080768.92,41.74,37.86,18.93,1433.10,7345.56,4468.28,2234.14,19965501.09,1850.00,724.06,5,5,33,11970.1753076
WE,C45,NLU,0,2,2010,7,2,0,1,0,0,0,10,5187.06,369.64,139.71,136630.39,100.00,0.00,0.00,0.00,271.41,14.29,5.40,204.19,149304.26,10972.76,4147.31,120401506.16,27.14,12.48,4.72,155.74,6405.13,2746.68,1038.15,7544235.56,1417.29,53.95,5,5,41,11546.5025414
WE,C45,NLU,0,3,2010,8,2,0,0,0,0,0,10,5216.95,283.77,100.33,80525.92,100.00,0.00,0.00,0.00,274.44,16.54,5.85,273.43,150358.90,11662.42,4123.29,136012028.84,25.47,17.18,6.07,295.01,9570.77,7309.92,2584.45,53434916.37,1409.50,80.70,5,5,33,23961.0395902
WE,C45,NLU,0,4,2010,7,2,0,1,0,0,0,10,5055.19,406.69,153.71,165395.94,100.00,0.00,0.00,0.00,273.65,16.24,6.14,263.85,238942.70,131807.13,49818.41,17373118633.75,24.54,12.41,4.69,154.09,11269.79,6348.43,2399.48,40302559.60,2253.86,1216.07,5,5,32,20167.8948165
WE,C45,NLU,0,5,2010,9,1,0,0,0,0,0,10,5075.01,430.28,143.43,185143.54,100.00,0.00,0.00,0.00,277.81,16.74,5.58,280.27,176436.32,67044.62,22348.21,4494981321.70,28.29,21.58,7.19,465.86,8672.48,4359.85,1453.28,19008315.85,1636.78,584.43,5,5,41,15029.5009256
WE,C45,NLU,0,6,2010,6,4,0,0,0,0,0,10,3949.68,585.92,239.20,343306.95,100.00,0.00,0.00,0.00,283.37,13.26,5.41,175.84,152863.82,6685.83,2729.48,44700332.48,56.83,92.59,37.80,8572.07,7994.48,4798.97,1959.17,23030096.28,1404.83,69.90,5,5,43,12423.8546489
WE,C45,NLU,0,7,2010,9,1,0,0,0,0,0,10,5589.11,62.77,20.92,3939.57,100.00,0.00,0.00,0.00,259.24,15.68,5.23,245.90,265550.05,87289.33,29096.44,7619427512.59,26.27,27.07,9.02,732.58,19170.49,13032.50,4344.17,169846087.83,2698.78,931.68,5,5,18,41288.9439398
WE,C45,NLU,0,8,2010,7,3,0,0,0,0,0,10,5151.02,396.99,150.05,157598.41,100.00,0.00,0.00,0.00,284.63,11.37,4.30,129.29,164525.11,16817.89,6356.56,282841360.60,26.55,17.46,6.60,305.00,8214.88,3731.23,1410.27,13922045.73,1503.29,145.67,5,5,45,12428.4772339
WE,C45,NLU,0,9,2010,7,3,0,0,0,0,0,10,5453.67,252.16,95.31,63583.85,100.00,0.00,0.00,0.00,261.50,10.16,3.84,103.14,222977.68,94744.50,35810.05,8976520224.92,53.05,45.70,17.27,2088.74,9627.93,9234.69,3490.38,85279465.15,2188.57,897.72,5,5,17,25694.9715477
WE,C85,NLU,0,1,2010,7,2,0,1,0,0,0,10,5158.61,172.26,65.11,29674.34,100.00,0.00,0.00,0.00,273.64,14.36,5.43,206.29,176638.93,67177.63,25390.76,4512833700.26,15.24,5.96,2.25,35.51,12679.58,4849.52,1832.95,23517873.35,1656.00,570.17,5,5,36,21819.2667767
WE,C85,NLU,0,10,2010,8,2,0,0,0,0,0,10,5023.23,455.53,161.06,207511.02,100.00,0.00,0.00,0.00,278.58,14.53,5.14,211.26,213850.44,81005.51,28639.77,6561892964.87,45.37,56.09,19.83,3146.02,7620.06,3745.92,1324.38,14031929.29,1980.12,759.04,5,5,36,13496.3645608
WE,C85,NLU,0,2,2010,10,0,0,0,0,0,0,10,5043.07,440.65,139.35,194171.76,100.00,0.00,0.00,0.00,278.05,15.03,4.75,225.91,154058.76,17489.82,5530.77,305893698.33,16.61,7.87,2.49,62.01,10735.88,4128.96,1305.69,17048315.58,1444.70,121.96,5,5,43,19727.0279167
WE,C85,NLU,0,3,2010,9,0,0,1,0,0,0,10,5172.12,511.45,170.48,261585.15,100.00,0.00,0.00,0.00,276.81,18.29,6.10,334.62,158248.76,13737.33,4579.11,188714217.86,24.70,25.54,8.51,652.11,9314.36,4043.44,1347.81,16349376.79,1492.56,164.10,5,5,34,14867.1382257
WE,C85,NLU,0,4,2010,7,3,0,0,0,0,0,10,4776.69,770.89,291.37,594268.91,100.00,0.00,0.00,0.00,279.60,15.67,5.92,245.67,190227.67,52926.06,20004.17,2801168194.02,30.35,29.99,11.34,899.62,10963.44,7358.22,2781.14,54143332.91,1783.57,545.84,5,5,34,22551.795937
WE,C85,NLU,0,5,2010,8,1,0,1,0,0,0,10,5121.67,461.30,163.09,212797.79,100.00,0.00,0.00,0.00,272.55,18.56,6.56,344.35,155234.11,19614.13,6934.64,384714170.57,40.17,69.43,24.55,4820.13,11149.78,8256.17,2919.00,68164345.47,1457.38,181.77,5,5,45,24949.8865769
WE,C85,NLU,0,6,2010,7,3,0,0,0,0,0,10,5056.09,380.07,143.65,144454.91,100.00,0.00,0.00,0.00,276.83,14.29,5.40,204.34,160307.81,23038.32,8707.67,530764110.54,27.92,24.77,9.36,613.40,9954.64,8790.69,3322.57,77276148.29,1499.29,177.22,5,5,45,29026.4667437
WE,C85,NLU,0,7,2010,7,2,0,1,0,0,0,10,5543.20,88.50,33.45,7832.87,100.00,0.00,0.00,0.00,262.71,13.35,5.04,178.13,289389.21,98058.05,37062.46,9615382055.73,20.17,7.61,2.88,57.88,15838.28,8406.97,3177.53,70677084.75,2865.86,951.63,5,5,23,34010.4411958
WE,C85,NLU,0,8,2010,7,1,0,2,0,0,0,10,5138.13,303.91,114.87,92358.69,100.00,0.00,0.00,0.00,279.13,12.58,4.75,158.17,160997.13,20075.14,7587.69,403011345.60,23.93,14.33,5.41,205.22,9116.00,5150.73,1946.79,26530030.34,1485.43,158.45,5,5,45,18646.9509082
WE,C85,NLU,0,9,2010,6,4,0,0,0,0,0,10,5364.26,160.75,65.62,25839.03,100.00,0.00,0.00,0.00,273.38,12.27,5.01,150.54,209043.39,126004.14,51440.97,15877043170.99,44.09,30.31,12.37,918.58,8119.41,9061.01,3699.14,82101968.87,1982.83,1149.71,5,5,8,25487.4211227
WE,Hist,NLU,0,1,2010,7,2,0,1,0,0,0,10,5266.62,331.50,125.30,109892.38,100.00,0.00,0.00,0.00,275.60,15.23,5.75,231.82,215181.67,83690.19,31631.92,7004048592.43,48.90,48.10,18.18,2313.43,7309.65,3843.48,1452.70,14772376.80,2007.57,704.34,5,5,22,12328.1730296
WE,Hist,NLU,0,10,2010,8,1,0,1,0,0,0,10,5155.28,376.95,133.27,142092.15,100.00,0.00,0.00,0.00,274.25,13.96,4.93,194.81,240218.02,143007.41,50560.76,20451119691.66,37.60,53.43,18.89,2854.78,11162.67,7607.71,2689.73,57877228.82,2277.12,1311.30,5,5,22,25453.5670116
WE,Hist,NLU,0,2,2010,9,1,0,0,0,0,0,10,5115.83,418.87,139.62,175450.81,100.00,0.00,0.00,0.00,275.37,14.95,4.98,223.52,162296.16,36321.58,12107.19,1319257448.72,20.64,11.78,3.93,138.84,9995.85,5495.57,1831.86,30201342.37,1541.22,393.31,5,5,35,18857.4148822
WE,Hist,NLU,0,3,2010,6,3,0,1,0,0,0,10,5155.76,330.86,135.07,109466.02,100.00,0.00,0.00,0.00,277.35,17.10,6.98,292.26,264388.99,115726.22,47245.03,13392557167.74,27.29,17.85,7.29,318.45,14135.74,11011.03,4495.24,121242840.26,2476.50,1164.88,5,5,19,32915.6167928
WE,Hist,NLU,0,4,2010,4,5,0,1,0,0,0,10,5221.39,331.68,165.84,110008.33,100.00,0.00,0.00,0.00,264.99,11.75,5.88,138.08,178199.80,67416.51,33708.26,4544985939.98,23.24,15.61,7.80,243.58,11565.46,8902.48,4451.24,79254101.18,1751.00,759.75,5,5,19,24254.3105914
WE,Hist,NLU,0,5,2010,7,3,0,0,0,0,0,10,5028.43,545.25,206.08,297295.48,100.00,0.00,0.00,0.00,282.50,12.72,4.81,161.86,150315.59,10821.25,4090.05,117099455.39,19.24,10.56,3.99,111.44,9256.25,3425.45,1294.70,11733720.72,1388.00,58.32,5,5,26,13901.1124043
WE,Hist,NLU,0,6,2010,9,1,0,0,0,0,0,10,4983.90,375.96,125.32,141345.87,100.00,0.00,0.00,0.00,276.13,16.27,5.42,264.72,152036.58,17110.22,5703.41,292759592.88,43.93,38.06,12.69,1448.22,7318.55,6318.77,2106.26,39926861.50,1434.00,130.36,5,5,38,17300.0125704
WE,Hist,NLU,0,7,2010,6,2,0,2,0,0,0,10,5231.69,420.21,171.55,176574.03,100.00,0.00,0.00,0.00,266.62,16.46,6.72,271.00,290072.22,127577.86,52083.44,16276109640.07,49.01,68.23,27.86,4655.65,14921.96,12096.07,4938.20,146314913.68,2779.50,1121.30,5,5,16,33901.7356788
WE,Hist,NLU,0,8,2010,9,1,0,0,0,0,0,10,5132.12,450.31,150.10,202779.74,100.00,0.00,0.00,0.00,275.05,19.08,6.36,363.87,149339.51,17837.62,5945.87,318180635.59,58.06,92.95,30.98,8639.33,6094.77,4089.06,1363.02,16720441.51,1411.56,101.04,5,5,33,13910.7033442
WE,Hist,NLU,0,9,2010,7,3,0,0,0,0,0,10,5510.59,199.33,75.34,39731.92,100.00,0.00,0.00,0.00,269.40,19.95,7.54,398.06,326202.99,92354.83,34906.84,8529414284.15,43.25,34.48,13.03,1188.70,15372.21,14054.12,5311.96,197518227.54,3169.57,958.00,5,5,7,39319.2317395
EW,C45,LU,1,1,2011,5,2,0,0,0,0,3,10,5441.10,197.12,88.15,38854.38,100.00,0.00,0.00,0.00,276.81,16.46,7.36,270.83,359291.93,190638.02,85255.92,36342856114.61,182.60,256.96,114.92,66029.00,6401.10,5165.64,2310.15,26683882.45,3356.00,1723.33,8,2,18,10380.3505836
EW,C45,LU,1,10,2011,6,4,0,0,0,0,0,10,5485.72,170.11,69.45,28935.80,100.00,0.00,0.00,0.00,268.78,13.78,5.63,190.03,286042.66,133429.71,54472.45,17803487023.76,1209.16,2659.11,1085.58,7070863.12,10523.77,9581.25,3911.53,91800359.74,2793.17,1315.39,5,5,18,24077.9526102
EW,C45,LU,1,2,2011,4,3,0,2,0,0,1,10,5287.65,124.72,62.36,15556.29,100.00,0.00,0.00,0.00,282.06,3.62,1.81,13.12,465741.52,26386.31,13193.16,696237472.96,74.47,19.77,9.88,390.72,6674.82,2198.25,1099.13,4832305.38,4321.75,280.14,6,4,32,9874.07642159
EW,C45,LU,1,3,2011,7,2,0,0,0,0,1,10,5210.41,346.49,130.96,120055.18,100.00,0.00,0.00,0.00,283.23,12.45,4.71,154.99,397048.65,114664.19,43338.99,13147877538.02,209.89,402.75,152.23,162208.60,7785.89,5040.23,1905.03,25403924.30,3670.57,1070.18,7,3,25,14963.8550497
EW,C45,LU,1,4,2011,5,5,0,0,0,0,0,10,5554.99,161.04,72.02,25933.47,100.00,0.00,0.00,0.00,264.67,15.95,7.13,254.30,295353.25,157497.54,70435.04,24805473983.43,23.84,10.73,4.80,115.13,12816.41,5861.08,2621.16,34352285.75,2894.40,1569.58,5,5,23,22538.7716904
EW,C45,LU,1,5,2011,7,2,0,1,0,0,0,10,5499.79,247.78,93.65,61395.73,100.00,0.00,0.00,0.00,260.76,16.19,6.12,262.04,370516.24,158354.60,59852.41,25076177802.28,314.00,701.85,265.27,492589.83,7808.58,6080.28,2298.13,36969865.46,3742.00,1583.44,5,5,36,19417.9181438
EW,C45,LU,1,6,2011,5,3,0,1,0,0,1,10,5273.64,242.16,108.30,58642.13,100.00,0.00,0.00,0.00,272.66,17.78,7.95,316.01,390549.27,132474.18,59244.25,17549408347.52,52.33,36.48,16.31,1330.68,8853.75,2811.85,1257.50,7906508.09,3804.00,1310.20,6,4,34,10828.2817069
EW,C45,LU,1,7,2011,7,2,0,1,0,0,0,10,5297.58,309.53,116.99,95809.46,100.00,0.00,0.00,0.00,262.11,18.10,6.84,327.60,276804.42,150230.61,56781.83,22569237127.49,52.09,34.62,13.09,1198.85,6258.35,3653.37,1380.85,13347144.82,2718.43,1398.68,4,6,15,11576.4094948
EW,C45,LU,1,8,2011,4,6,0,0,0,0,0,10,5477.15,143.37,71.68,20553.80,100.00,0.00,0.00,0.00,268.07,15.31,7.66,234.44,438400.06,112898.33,56449.16,12746032477.18,51.62,28.93,14.46,836.85,13318.39,13005.12,6502.56,169133041.83,4279.50,943.80,6,4,35,32524.8937049
EW,C45,LU,1,9,2011,3,6,0,1,0,0,0,10,5136.24,291.79,168.46,85141.18,100.00,0.00,0.00,0.00,270.21,9.36,5.41,87.66,314093.72,165244.69,95404.06,27305806290.35,94.21,77.01,44.46,5930.70,4324.84,2224.82,1284.50,4949832.90,3024.67,1518.06,5,5,11,6221.37574245
EW,C85,LU,1,1,2011,8,1,0,0,0,0,1,10,5358.00,224.51,79.38,50403.53,100.00,0.00,0.00,0.00,264.87,13.81,4.88,190.64,281635.20,160234.48,56651.44,25675088449.33,64.81,50.94,18.01,2595.05,6412.57,5090.58,1799.79,25914010.68,2814.88,1661.61,4,6,25,15039.7706879
EW,C85,LU,1,10,2011,7,2,0,1,0,0,0,10,5152.90,285.12,107.77,81293.17,100.00,0.00,0.00,0.00,286.98,7.34,2.78,53.94,360512.91,122910.81,46455.92,15107066563.62,200.64,339.93,128.48,115555.14,8071.32,7657.31,2894.19,58634472.49,3284.57,1139.32,8,2,25,20710.7179022
EW,C85,LU,1,2,2011,3,6,0,0,0,0,1,10,5424.10,83.60,48.26,6988.30,100.00,0.00,0.00,0.00,265.72,16.59,9.58,275.32,297320.39,149342.73,86223.06,22303249567.24,53.42,30.30,17.49,918.03,7796.41,7038.01,4063.40,49533594.48,2900.67,1472.51,5,5,35,15728.9174316
EW,C85,LU,1,3,2011,7,2,0,1,0,0,0,10,5262.15,213.92,80.86,45763.49,100.00,0.00,0.00,0.00,274.08,12.38,4.68,153.19,317436.97,149977.35,56686.11,22493205353.42,204.39,401.85,151.89,161483.62,8252.68,5947.72,2248.03,35375349.86,3021.71,1493.90,4,6,22,15719.7932299
EW,C85,LU,1,4,2011,9,1,0,0,0,0,0,10,5300.51,366.66,122.22,134436.46,100.00,0.00,0.00,0.00,267.10,17.95,5.98,322.30,358538.91,147692.70,49230.90,21813134910.51,86.11,114.95,38.32,13213.87,12043.29,9899.52,3299.84,98000497.83,3490.89,1340.94,5,5,25,30249.1823734
EW,C85,LU,1,5,2011,5,3,0,0,0,0,2,10,5290.63,202.45,90.54,40984.69,100.00,0.00,0.00,0.00,281.54,5.28,2.36,27.93,485864.70,58017.84,25946.37,3366070050.26,50.64,31.46,14.07,989.80,13408.44,8308.39,3715.63,69029413.44,4521.60,491.17,7,3,35,23280.4688019
EW,C85,LU,1,6,2011,5,3,0,1,0,0,1,10,5422.38,338.22,151.26,114393.37,100.00,0.00,0.00,0.00,267.76,16.00,7.16,256.01,403528.35,148933.88,66605.25,22181299927.05,164.52,199.00,88.99,39600.12,5305.17,4367.87,1953.37,19078328.22,3964.20,1491.06,4,6,35,12323.4618978
EW,C85,LU,1,7,2011,5,5,0,0,0,0,0,10,5230.91,404.43,180.87,163560.89,100.00,0.00,0.00,0.00,277.84,27.51,12.30,756.81,302599.32,161571.14,72256.81,26105231864.16,65.29,41.28,18.46,1703.79,6139.30,3748.25,1676.27,14049376.36,2809.00,1439.56,7,3,15,11427.9061943
EW,C85,LU,1,8,2011,7,2,0,1,0,0,0,10,5275.93,213.58,80.72,45615.67,100.00,0.00,0.00,0.00,270.04,13.43,5.08,180.38,331369.75,160151.13,60531.44,25648384966.63,49.49,28.07,10.61,787.74,8799.04,5392.45,2038.15,29078472.00,3163.57,1479.45,6,4,36,17036.8864324
EW,C85,LU,1,9,2011,6,3,0,1,0,0,0,10,5435.99,145.69,59.48,21225.32,100.00,0.00,0.00,0.00,266.65,17.52,7.15,307.08,309981.86,176702.99,72138.69,31223947673.47,27.84,16.89,6.89,285.20,13404.05,7854.22,3206.47,61688705.05,3017.50,1715.28,5,5,12,26298.3324486
EW,Hist,LU,1,1,2011,9,0,0,1,0,0,0,10,5470.70,277.23,92.41,76854.00,100.00,0.00,0.00,0.00,261.35,16.72,5.57,279.70,273230.60,156491.49,52163.83,24489587414.63,47.14,27.22,9.07,740.78,8104.05,6684.83,2228.28,44686963.63,2723.00,1487.24,3,7,12,20513.0074653
EW,Hist,LU,1,10,2011,7,2,0,0,0,0,1,10,5639.80,176.41,66.68,31120.00,100.00,0.00,0.00,0.00,253.32,21.69,8.20,470.29,229767.28,69103.51,26118.67,4775295362.43,530.71,1011.12,382.17,1022360.37,6050.75,8037.72,3037.97,64604987.95,2362.71,729.89,4,6,12,20785.0367387
EW,Hist,LU,1,2,2011,5,2,0,2,0,0,1,10,5512.13,36.23,16.20,1312.86,100.00,0.00,0.00,0.00,265.45,10.98,4.91,120.63,353014.23,196914.23,88062.72,38775214420.53,105.22,91.22,40.79,8321.02,4632.39,2590.16,1158.36,6708941.72,3449.40,1901.97,3,7,27,7559.01748524
EW,Hist,LU,1,3,2011,4,4,0,2,0,0,0,10,5480.32,111.95,55.97,12532.78,100.00,0.00,0.00,0.00,274.43,16.09,8.05,258.90,322189.54,169683.01,84841.51,28792324634.69,48.25,31.20,15.60,973.63,10594.72,10324.75,5162.37,106600393.19,3012.00,1537.67,7,3,7,25523.9574199
EW,Hist,LU,1,4,2011,5,4,0,1,0,0,0,10,5624.04,162.70,72.76,26472.03,100.00,0.00,0.00,0.00,255.24,12.21,5.46,149.11,309007.38,152960.67,68406.09,23396966573.67,78.47,78.47,35.09,6157.97,6265.18,4616.93,2064.75,21316002.29,3149.00,1497.15,6,4,12,13910.7189583
EW,Hist,LU,1,5,2011,4,1,0,1,0,0,4,10,5612.80,187.52,93.76,35164.75,100.00,0.00,0.00,0.00,249.28,14.27,7.14,203.69,377932.07,184513.03,92256.51,34045057857.81,316.50,320.58,160.29,102772.08,4598.70,7105.46,3552.73,50487593.98,3903.00,1791.26,5,5,21,15237.1547465
EW,Hist,LU,1,6,2011,1,5,0,1,0,0,3,10,5295.41,0.00,0.00,0.00,100.00,0.00,0.00,0.00,281.77,0.00,0.00,0.00,476188.71,0.00,0.00,0.00,30.73,0.00,0.00,0.00,15497.40,0.00,0.00,0.00,4417.00,0.00,7,3,31,15497.3959155
EW,Hist,LU,1,7,2011,8,1,0,0,0,0,1,10,5308.71,386.45,136.63,149345.40,100.00,0.00,0.00,0.00,256.87,17.33,6.13,300.32,244159.98,128996.98,45607.32,16640219758.66,78.74,145.24,51.35,21095.56,10045.76,7017.78,2481.16,49249212.50,2500.25,1382.41,3,7,11,19458.8696793
EW,Hist,LU,1,8,2011,4,3,0,1,0,0,2,10,5305.00,273.72,136.86,74921.78,100.00,0.00,0.00,0.00,270.02,6.81,3.41,46.38,419487.85,148981.08,74490.54,22195362045.14,42.92,30.54,15.27,932.42,14777.39,14118.63,7059.32,199335853.81,4049.50,1378.60,4,6,30,35778.6995561
EW,Hist,LU,1,9,2011,5,3,0,1,0,0,1,10,5390.93,242.56,108.48,58834.38,100.00,0.00,0.00,0.00,267.94,8.71,3.89,75.84,431544.96,85261.49,38130.10,7269521817.43,224.95,241.47,107.99,58309.83,7942.80,9902.76,4428.65,98064662.27,4248.00,795.20,7,3,7,24371.0540878
EW,C45,NLU,1,1,2011,8,2,0,0,0,0,0,10,5348.20,258.33,91.33,66735.67,100.00,0.00,0.00,0.00,282.07,6.74,2.38,45.40,325951.20,173821.59,61455.21,30213944335.62,86.24,123.97,43.83,15369.01,10248.82,7366.02,2604.28,54258184.63,3011.75,1623.71,9,1,33,19013.1207736
EW,C45,NLU,1,10,2011,4,5,0,1,0,0,0,10,5343.82,179.16,89.58,32098.57,100.00,0.00,0.00,0.00,273.19,17.78,8.89,316.19,276644.91,143700.30,71850.15,20649775197.50,276.44,257.55,128.77,66329.68,3146.83,3827.24,1913.62,14647796.33,2650.50,1318.47,7,3,33,8585.74629678
EW,C45,NLU,1,2,2011,4,6,0,0,0,0,0,10,5529.50,175.32,87.66,30737.93,100.00,0.00,0.00,0.00,268.29,15.90,7.95,252.92,240672.21,100401.15,50200.57,10080390661.13,38.00,40.90,20.45,1673.05,13383.81,11779.59,5889.79,138758729.61,2340.25,988.13,5,5,41,29453.1427927
EW,C45,NLU,1,3,2011,7,2,0,1,0,0,0,10,5308.76,358.23,135.40,128330.87,100.00,0.00,0.00,0.00,265.48,7.86,2.97,61.74,298110.79,116570.05,44059.34,13588576167.35,248.95,490.76,185.49,240844.85,4812.61,3005.90,1136.12,9035428.03,2930.00,1163.11,2,8,33,8083.01701722
EW,C45,NLU,1,4,2011,8,2,0,0,0,0,0,10,5488.69,150.67,53.27,22701.32,100.00,0.00,0.00,0.00,258.86,13.56,4.79,183.75,304141.21,137343.87,48558.39,18863338101.48,154.10,207.53,73.37,43066.80,6023.37,6634.67,2345.71,44018866.30,3085.00,1362.47,3,7,32,20154.0657627
EW,C45,NLU,1,5,2011,6,2,0,2,0,0,0,10,5487.93,261.64,106.82,68458.02,100.00,0.00,0.00,0.00,264.19,13.33,5.44,177.57,353321.18,140973.98,57552.38,19873662001.14,64.24,41.98,17.14,1762.01,9308.39,7650.91,3123.47,58536482.50,3452.67,1259.41,7,3,41,19649.7534704
EW,C45,NLU,1,6,2011,4,4,0,1,0,0,1,10,5304.15,327.31,163.66,107132.24,100.00,0.00,0.00,0.00,268.85,11.20,5.60,125.43,352364.81,103542.21,51771.11,10720989751.59,247.85,434.61,217.30,188883.38,9888.37,7103.02,3551.51,50452929.01,3412.00,886.14,6,4,43,17497.857519
